# baseline main 2909a0a vs branch 1a98fc2, same host/seed/stack, back to back, closed browser session first.
# ONE sample per build per metric. Run-to-run variance was not measured, so no within-noise, no-regression or improvement claim can be made from these numbers. Significance: unknown.

metric                         baseline   branch   direction
launch.shellPaintMs                 7.5     10.3   branch slower
launch.appMountedMs                29.4     37.0   branch slower
launch.firstContentfulPaintMs        48       52   branch slower
launch.shellHeldAloneMs            21.9     26.7   branch slower
workflow.0.feedback                 1.9      2.3   branch slower
workflow.0.full                     420      436   branch slower
workflow.0.cached                     4        6   branch slower
workflow.1.feedback                 3.4      6.2   branch slower
workflow.1.full                     708      711   branch slower
workflow.1.cached                     6       17   branch slower
latency.home-live-lineup.totalMedianMs     16.3     19.7   branch slower
latency.lineup-day-change.totalMedianMs     11.3     17.6   branch slower
latency.player-search-filter.totalMedianMs     17.2     29.2   branch slower
latency.player-detail-open.totalMedianMs     21.9     31.5   branch slower
latency.roster-review-manage.totalMedianMs     14.6     17.5   branch slower
latency.waiver-add-claim.totalMedianMs     12.4     19.6   branch slower
latency.trade-review-act.totalMedianMs     12.7     15.6   branch slower
latency.auction-draft-room.totalMedianMs     14.3     22.3   branch slower
latency.rookie-draft-room.totalMedianMs     12.6     13.1   branch slower
latency.dynasty-hub.totalMedianMs     13.4     13.8   branch slower

# Observed slower on the branch in this single sample: launch.shellPaintMs, launch.appMountedMs, launch.firstContentfulPaintMs, launch.shellHeldAloneMs, workflow.0.feedback, workflow.0.full, workflow.0.cached, workflow.1.feedback, workflow.1.full, workflow.1.cached, latency.home-live-lineup.totalMedianMs, latency.lineup-day-change.totalMedianMs, latency.player-search-filter.totalMedianMs, latency.player-detail-open.totalMedianMs, latency.roster-review-manage.totalMedianMs, latency.waiver-add-claim.totalMedianMs, latency.trade-review-act.totalMedianMs, latency.auction-draft-room.totalMedianMs, latency.rookie-draft-room.totalMedianMs, latency.dynasty-hub.totalMedianMs
# perf:budget (--require-report and --require-workflow-reports) ran on the branch only and exited 0; the baseline's gated scenarios exited 0 but its budget gates were not run.
# Run order in this phase: the branch build was measured FIRST (cold service worker, cold caches), then the
# baseline build on the same warmed stack. The consistent one-direction gap is therefore confounded with
# order; earlier phases with the opposite order showed the opposite direction on several metrics
# (local-phase4, local-phase6). No conclusion about the branch's performance is drawn from this sample.
